student_code,semester,attendance_pct,gpa,reward_points,activity_points
EC2024001,2024-ODD,92.0,8.5,108,88
EC2024001,2024-EVEN,93.0,8.8,118,95
EC2024002,2024-ODD,87.0,7.4,85,68
EC2024002,2024-EVEN,90.0,7.9,92,74
EC2024003,2024-ODD,82.0,6.8,68,55
EC2024003,2024-EVEN,80.0,6.5,62,50
EC2024004,2024-ODD,74.0,5.9,46,37
EC2024004,2024-EVEN,72.0,5.6,40,32
EC2024005,2024-ODD,64.0,4.3,24,16
EC2024005,2024-EVEN,58.0,3.6,16,10
EC2024006,2024-ODD,53.0,2.9,10,7
EC2024006,2024-EVEN,50.0,2.5,8,5
EC2024007,2024-ODD,83.0,6.7,65,53
EC2024007,2024-EVEN,81.0,6.4,60,48
