student_code,semester,attendance_pct,gpa,reward_points,activity_points
CS2024001,2024-ODD,94.0,8.7,115,90
CS2024001,2024-EVEN,96.0,9.0,125,100
CS2024002,2024-ODD,89.0,7.9,95,75
CS2024002,2024-EVEN,91.0,8.2,105,80
CS2024003,2024-ODD,85.0,7.2,80,65
CS2024003,2024-EVEN,88.0,7.6,88,70
CS2024004,2024-ODD,97.0,9.3,140,110
CS2024004,2024-EVEN,98.0,9.5,155,120
CS2024005,2024-ODD,76.0,6.1,52,42
CS2024005,2024-EVEN,79.0,6.4,58,48
CS2024006,2024-ODD,71.0,5.4,38,30
CS2024006,2024-EVEN,73.0,5.7,44,35
CS2024007,2024-ODD,60.0,3.8,18,12
CS2024007,2024-EVEN,55.0,3.2,12,8
CS2024008,2024-ODD,95.0,9.1,132,105
CS2024008,2024-EVEN,97.0,9.4,148,118
